"name","09/12/2020","11/12/2020","13/12/2020","16/12/2020","20/12/2020","23/12/2020","27/12/2020","30/12/2020","03/01/2021","08/01/2021","10/01/2021","15/01/2021","17/01/2021","22/01/2021","24/01/2021","29/01/2021","31/01/2021","02/02/2021","05/02/2021","07/02/2021","14/02/2021"
"Ginshi","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Dorathy","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Chaoriel","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Miffzy","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x",
"Kagejinn","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Brocade","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x",,"x"
"Shaní","x","x","x","x","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x",,"x"
"Dauntilus","x","x","x","x","x","x",,"x","x","x","x",,"x","x","x","x","x","x","x","x","x"
"Controlling","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x",,"x",,"x"
"Óldgreg","x","x",,"x","x","x","x","x","x","x","x","x","x","x","x","x","x",,"x","x",
"Arrowsong","x","x","x","x","x","x","x","x","x","x","x","x","x",,"x","x",,,"x","x",
"Liquidpower","x",,"x","x","x","x","x",,"x","x","x","x",,,"x","x","x","x","x","x","x"
"Dumbclass","x",,"x","x","x","x","x","x","x",,"x",,"x","x","x","x","x","x",,"x","x"
"Demonslay","x","x","x","x","x","x","x",,,"x","x","x","x","x",,"x","x","x","x",,
"Svusj","x","x","x","x","x",,,"x","x","x","x","x","x",,"x",,"x","x",,,"x"
"Ánguss","x","x","x","x","x","x","x","x",,"x","x","x","x",,,"x","x",,,,
"Nighchanger","x",,"x","x","x","x","x",,"x",,"x",,,"x","x",,"x","x",,"x",
"Phira","n/a","n/a","n/a","x","x","x","x",,"x",,"x",,,"x","x",,"x","x",,"x",
"Klavucitis","x","x",,"x","x","x",,"x","x","x",,"x",,"x",,,,,,,
"Flórpdru","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,"x",,"x","x","x","x","x","x","x","x"
"Suni","x","x",,"x","x",,"x","x","x","x",,"x",,,,,,,,,
"Burritohat","x","x",,"x",,,,,,,,"x",,,"x","x","x","x",,,"x"
"Arthilea","x",,,,,,,,,,,"x","x","x","x","x","x","x",,,"x"
"Rainydays","x","x","x",,"x","x",,"x",,"x",,"x",,,,,,,,,
"Azath","x",,,,"x","x","x",,,,"x",,,,"x",,"x","x",,,
"Hãze","x","x","x","x","x","x","x",,,,,"x",,,,,,,,,
"Shatterblade","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,"x","x","x",,,"x","x","x"
"Dragonrblood","n/a","x",,,,"x",,"x",,,,"x",,"x",,,,,"x",,
"Yanembi","x","x",,,,,"x","x","x",,,,,,,,,,,,
"Serri","x","x","x","x",,,"x",,,,,,,,,,,,,,
"Thorberta","x","x",,,,"x",,,,,"x",,,,,,,,,,
"Mêês","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x","x",,,"x",,,,,,"x",
"Aiyven","x","x",,"x",,,,,,,,,,,,,,,,,
"Nanok","x","x",,,,,,,,,,,,,,,,,,,
"Édey","n/a","n/a","n/a","x",,"x",,,,,,,,,,,,,,,
"Otje","n/a","n/a","n/a","n/a","n/a","x",,,,"x",,,,,,,,,,,
"Kanorfa","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,"x",,,,,
"Uzemnovac","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x","x"
"Valgz","x",,,,,,,,,,,,,,,,,,,,
"Petroslaw","x",,,,,,,,,,,,,,,,,,,,
"Léésín","n/a","x",,,,,,,,,,,,,,,,,,,
"Vanadin","n/a","n/a","n/a","x",,,,,,,,,,,,,,,,,
"Niratap","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,,,,,,,,,,,,
"Feralus","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,,,,,,,,
"Júdgê","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,,,,,,,,
"Atralyxa","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x",,,,,,,
"Niake","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","x"
